name,geometry,source,root_category,normalized_name,type,dist_km,occ_pct,is_candidate,dist_score,occ_score,total_score
Travessa das Falcata,POINT (-67.69918823242188 -9.728560447692871),osm_pyrosm,water,travessa das falcata,travessa,3.2819024179481953,0.0,True,0.32819024179481954,1.0,0.5969141450768918
Ramal Porto Valter,POINT (-67.29655456542969 -10.08200740814209),osm_pyrosm,water,ramal porto valter,porto,3.259753568431206,0.0,True,0.3259753568431206,1.0,0.5955852141058724
Ramal Cajarana,POINT (-68.99175212976 -10.8449528551649),osm_pyrosm,water,ramal cajarana,ramal,3.178854855034547,0.0,True,0.3178854855034547,1.0,0.5907312913020728
Ramal da Limeira,POINT (-67.72185185211215 -10.164658095451234),osm_pyrosm,water,ramal da limeira,ramal,3.1335725506343075,0.0,True,0.31335725506343076,1.0,0.5880143530380585
Ramal 74,POINT (-69.27983828440755 -10.790048024211343),osm_pyrosm,water,ramal 74,ramal,3.126973478765806,0.0,True,0.3126973478765806,1.0,0.5876184087259484
Travessa Aroeiras,POINT (-67.6984278783357 -9.727216521123491),osm_pyrosm,water,travessa aroeiras,travessa,3.1175947966488216,0.0,True,0.31175947966488216,1.0,0.5870556877989292
Ramal das Graminhas,POINT (-67.70782938914073 -9.727303213397843),osm_pyrosm,water,ramal das graminhas,ramal,3.10622867572159,0.0,True,0.310622867572159,1.0,0.5863737205432954
Rua Rio Branco,POINT (-67.73519053144884 -10.151757311174899),osm_pyrosm,water,rua rio branco,rio,3.013432697471705,0.0,True,0.3013432697471705,1.0,0.5808059618483024
Rua Paraná,POINT (-67.73239409886787 -10.153147059937998),osm_pyrosm,water,rua parana,parana,3.0017253713983476,0.0,True,0.30017253713983477,1.0,0.5801035222839008
