name,description,longitude,latitude,raw_coordinates
候補地 (スコア: 0.895),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Rua Rio Branco</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.895</p>
<p><strong>水系タイプ:</strong> rio</p>
<p><strong>現河道からの距離:</strong> 3.0 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -9.730129, -67.690573</p>
]]>",-67.69057270617428,-9.73012944921988,"-67.69057270617428,-9.73012944921988,0"
候補地 (スコア: 0.895),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Rua Rio Branco</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.895</p>
<p><strong>水系タイプ:</strong> rio</p>
<p><strong>現河道からの距離:</strong> 3.0 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.151757, -67.735191</p>
]]>",-67.73519053144884,-10.151757311174899,"-67.73519053144884,-10.151757311174899,0"
候補地 (スコア: 0.861),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal Porto Valter</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.861</p>
<p><strong>水系タイプ:</strong> porto</p>
<p><strong>現河道からの距離:</strong> 3.3 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.082007, -67.296555</p>
]]>",-67.29655456542969,-10.08200740814209,"-67.29655456542969,-10.08200740814209,0"
候補地 (スコア: 0.823),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Rua Paraná</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.823</p>
<p><strong>水系タイプ:</strong> parana</p>
<p><strong>現河道からの距離:</strong> 3.0 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.153147, -67.732394</p>
]]>",-67.73239409886787,-10.153147059937998,"-67.73239409886787,-10.153147059937998,0"
候補地 (スコア: 0.476),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal Olho D'água</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.476</p>
<p><strong>水系タイプ:</strong> ramal</p>
<p><strong>現河道からの距離:</strong> 2.9 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -9.843121, -68.499234</p>
]]>",-68.49923363090092,-9.843120848050551,"-68.49923363090092,-9.843120848050551,0"
候補地 (スコア: 0.473),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal das Graminhas</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.473</p>
<p><strong>水系タイプ:</strong> ramal</p>
<p><strong>現河道からの距離:</strong> 3.1 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -9.727303, -67.707829</p>
]]>",-67.70782938914073,-9.727303213397843,"-67.70782938914073,-9.727303213397843,0"
候補地 (スコア: 0.473),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal 74</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.473</p>
<p><strong>水系タイプ:</strong> ramal</p>
<p><strong>現河道からの距離:</strong> 3.1 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.790048, -69.279838</p>
]]>",-69.27983828440755,-10.790048024211343,"-69.27983828440755,-10.790048024211343,0"
候補地 (スコア: 0.473),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal da Limeira</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.473</p>
<p><strong>水系タイプ:</strong> ramal</p>
<p><strong>現河道からの距離:</strong> 3.1 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.164658, -67.721852</p>
]]>",-67.72185185211215,-10.164658095451234,"-67.72185185211215,-10.164658095451234,0"
候補地 (スコア: 0.472),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Ramal Cajarana</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.472</p>
<p><strong>水系タイプ:</strong> ramal</p>
<p><strong>現河道からの距離:</strong> 3.2 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.844953, -68.991752</p>
]]>",-68.99175212976,-10.8449528551649,"-68.99175212976,-10.8449528551649,0"
候補地 (スコア: 0.446),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Travessa Vila Militar</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.446</p>
<p><strong>水系タイプ:</strong> travessa</p>
<p><strong>現河道からの距離:</strong> 3.0 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -10.165840, -67.722882</p>
]]>",-67.72288162279806,-10.165839931735544,"-67.72288162279806,-10.165839931735544,0"
候補地 (スコア: 0.443),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Travessa Aroeiras</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.443</p>
<p><strong>水系タイプ:</strong> travessa</p>
<p><strong>現河道からの距離:</strong> 3.1 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -9.727217, -67.698428</p>
]]>",-67.6984278783357,-9.727216521123491,"-67.6984278783357,-9.727216521123491,0"
候補地 (スコア: 0.441),"<![CDATA[
<h3>候補地</h3>
<p><strong>元の名前:</strong> Travessa das Falcata</p>
<p><strong>タイプ:</strong> 古河道候補地</p>
<p><strong>スコア:</strong> 0.441</p>
<p><strong>水系タイプ:</strong> travessa</p>
<p><strong>現河道からの距離:</strong> 3.3 km</p>
<p><strong>水域頻度:</strong> 0.0%</p>
<p><strong>座標:</strong> -9.728560, -67.699188</p>
]]>",-67.69918823242188,-9.728560447692871,"-67.69918823242188,-9.728560447692871,0"
